t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775087046.9111,1558,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.9312,1566,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.9512,1585,1500,1735,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.9713,1592,1500,1735,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.9912,1600,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087047.0112,1602,1500,1735,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087047.0311,1600,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087047.0514,1596,1500,1737,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.0713,1593,1500,1737,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.0912,1584,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.1112,1568,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.1312,1555,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.1512,1500,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.1712,1500,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.1911,1500,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.2163,1500,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.2315,1500,1500,1735,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.2512,1500,1500,1737,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.2712,1500,1500,1737,1500,1939,1939,1500,1500,20.72772267,-103.5668495,283.45,rc
1775087047.2912,1500,1500,1737,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.3112,1500,1500,1740,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.3312,1500,1500,1743,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.3513,1500,1500,1750,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.3715,1500,1500,1753,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.3912,1500,1500,1762,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.4163,1500,1500,1768,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.4312,1500,1500,1771,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.4512,1500,1500,1776,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.4712,1500,1500,1777,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.4912,1500,1500,1778,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.5112,1500,1500,1777,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.5312,1500,1500,1778,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.5512,1500,1500,1778,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.5712,1500,1500,1779,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.5912,1500,1500,1779,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.6163,1500,1500,1780,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.6313,1500,1500,1780,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.6513,1500,1500,1781,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.6712,1500,1500,1781,1500,1939,1939,1500,1500,20.727723,-103.56685117,283.86,rc
1775087047.6912,1500,1500,1787,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.7112,1500,1500,1790,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.7313,1500,1500,1796,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.7512,1500,1500,1796,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.7712,1500,1500,1796,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.7911,1500,1500,1796,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.8163,1500,1500,1812,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.8312,1500,1500,1813,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.8513,1500,1500,1816,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.8712,1500,1500,1816,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.8912,1500,1500,1817,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.9112,1500,1500,1818,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.9312,1500,1500,1818,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.9513,1500,1500,1818,1500,1939,1939,1500,1500,20.727724,-103.56685417,281.39,rc
1775087047.9712,1500,1500,1818,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087047.9911,1500,1500,1818,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.0163,1500,1500,1818,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.0312,1500,1500,1818,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.0513,1500,1500,1822,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
