time_s,lat,lon,heading_deg,gps_speed_mps,turn_rate_dps,fix_quality,num_sats,hdop,throttle_ppm,steering_ppm,ch3_ppm,ch4_ppm,ch5_ppm,ch6_ppm,ch7_ppm,ch8_ppm,mode
3.650,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.700,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.750,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.800,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.850,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
4.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
