t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092550.1962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.2165,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.2363,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.2562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.2762,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.2962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.3162,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.3364,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.3562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.3761,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.3963,1500,1500,1698,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.4161,1500,1500,1698,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.4362,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.4561,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.4766,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.4962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.5162,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.5365,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.5562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.5761,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
